id,relevance
1,2.0462718
4,2.178203
5,2.5251362
6,2.7551775
7,2.6150513
8,2.3446035
10,2.6309013
11,2.7531893
12,2.1747255
13,2.85212
14,2.6680567
15,2.5464213
19,2.6098018
22,2.804476
24,2.5394247
25,2.3488574
26,1.9607291
28,2.6200244
29,2.3288007
30,2.324429
31,2.8512871
32,2.7702668
33,2.248855
36,2.600797
39,2.6479192
40,2.7472537
41,2.364027
42,2.626605
43,2.784738
44,2.644986
45,2.7842023
46,2.747017
47,2.4179955
49,2.5787952
50,2.6974435
52,2.362537
53,2.5290575
54,2.3534262
55,2.6575387
56,2.7993119
57,2.5029833
58,2.4733462
59,2.3258023
60,1.9921083
61,2.7318537
62,2.628576
63,2.8022966
64,2.7358198
66,2.8015196
67,2.5147102
68,1.9200108
70,2.158345
71,2.3906999
72,2.1481357
73,2.0053513
74,1.9827852
76,1.9442263
77,2.1112442
78,1.7532176
79,2.0767505
80,2.0165372
82,2.4498997
83,2.4329238
84,1.8585978
86,2.4312475
87,2.286671
89,2.4236434
91,1.9862144
93,1.9183346
94,2.0879552
95,2.0719523
96,1.9252838
97,1.9648547
98,2.1282082
99,2.0118139
100,2.5477607
102,2.0920086
103,2.0340502
104,2.0296586
107,2.6723568
108,2.018866
109,2.600199
110,2.3125777
111,2.3094516
112,2.339766
115,2.3276358
116,2.5933342
118,2.6858122
119,2.7769563
121,2.795506
124,2.632765
126,2.5555742
128,2.2639978
129,2.6048524
130,2.371544
131,2.2028875
132,2.2316532
133,2.35058
134,2.6024506
135,2.2612202
137,2.4674444
139,2.62256
140,2.0920153
141,2.1234884
142,2.1634836
144,2.6403306
145,2.4906912
146,2.204001
148,2.091711
151,2.3992953
152,2.2561347
153,2.489946
154,1.6510253
155,2.0781574
156,2.1703687
159,2.1427755
160,2.1520395
161,2.3662329
163,2.7371016
167,2.5637877
168,2.5378602
169,2.0828724
170,2.71778
171,2.7059484
173,2.5385153
174,2.2154646
175,2.3871512
176,2.059047
180,2.3729353
183,2.464431
184,2.3862686
185,2.3862686
187,2.7531276
188,2.1348782
189,1.9796648
190,2.2857447
192,2.3620691
194,2.520689
196,1.8503526
197,1.9903704
198,2.6113207
199,2.6113207
200,2.5498905
204,2.7018752
206,2.5760918
207,2.584764
208,2.460997
209,2.364304
211,2.5761092
212,2.4508307
213,2.61232
216,2.6080742
217,2.6119099
218,2.334324
219,2.6510565
220,2.3916874
221,2.4402785
222,2.332632
224,1.9223611
225,2.587922
228,2.5806909
229,2.5158527
230,2.7005713
231,2.4239998
232,2.2636514
234,2.5132432
235,2.6672585
236,2.5186386
237,2.5296917
238,2.763524
239,2.3877208
240,2.4463391
242,2.6083393
243,2.5901449
244,2.3360014
246,2.2685285
247,2.1171775
248,1.9810938
249,2.4181263
250,2.1090374
251,2.4382524
252,2.518974
253,2.2369628
254,2.234459
256,2.431469
258,2.1934721
260,2.3129802
262,2.2485166
263,2.4597697
264,2.1675858
265,2.307259
267,2.664897
268,2.4023752
269,2.3759918
271,2.4569168
273,2.4241972
274,2.1620793
277,2.5312157
278,2.1799598
279,2.0432935
280,2.6146564
281,2.4318829
282,2.6891305
283,2.678868
285,2.8405042
286,2.5840025
287,2.2597356
288,2.6230996
289,2.6230996
291,2.4843287
292,2.4478765
295,2.5643883
296,2.5643883
298,2.4140878
299,2.5280223
300,2.6293292
301,2.4184713
302,2.687392
303,2.019249
304,1.9864541
306,2.7131026
307,2.4847546
308,2.5332968
309,2.484817
310,2.5234265
311,2.5839128
312,2.772932
313,2.5114827
315,2.5783057
316,2.5386367
317,2.408247
320,2.5378304
321,2.0103738
322,2.4391322
324,2.4893706
325,2.689866
326,2.4477606
328,2.6484485
329,2.274815
330,2.4810233
332,2.2339516
333,2.4935188
336,2.482379
337,2.568556
338,2.3224735
339,2.226244
342,2.4286075
344,2.3065147
345,2.4652762
348,1.9480069
349,2.7392669
352,2.0428586
353,2.616806
356,2.43409
357,2.6953678
358,2.4108262
360,2.525242
362,2.0911307
364,2.63476
366,2.573436
367,2.6123188
368,2.149298
369,2.5113673
370,2.7185643
371,2.7525246
372,2.5388014
376,2.6949499
377,2.6261494
378,2.6958194
379,2.5354888
380,1.9686419
381,2.6836715
382,2.2768292
383,2.0680838
384,2.7200603
386,2.4143271
387,2.3954582
388,2.3954582
390,2.3551474
391,1.6957419
392,2.5911334
393,1.9982189
394,2.2024617
395,2.2341142
396,2.4473112
398,2.247295
399,2.767166
404,2.7115674
405,2.729615
406,2.44729
409,2.4598908
410,2.5368605
412,2.6748211
414,2.6411276
415,1.9974879
416,2.5613513
417,2.0253
419,2.3066518
420,2.6449552
423,2.4239624
424,2.2156405
425,1.8159823
426,2.7861876
427,2.2512517
428,2.7273161
429,2.129341
430,1.9302168
431,2.6692374
432,2.7546933
433,2.67554
434,2.656286
435,2.3594832
436,2.5432162
437,2.7139344
438,2.7295594
439,2.6822925
441,2.515127
442,2.7504783
443,2.4749494
448,2.3023372
449,2.5278885
450,2.3852406
451,2.4359555
453,2.8041954
457,2.7271354
460,2.8498569
462,2.7969203
463,2.8633993
464,2.3787644
465,2.7120664
466,2.6818726
467,2.279247
471,2.4807835
472,1.9660046
474,2.43618
477,2.3065512
482,2.5918813
483,2.6514106
484,2.7723718
486,2.835971
487,2.2556748
488,2.6379519
489,2.264781
490,2.1711721
493,2.2571328
494,2.160338
495,2.0363607
496,2.3049521
498,2.188807
499,2.4623303
502,2.5959532
503,2.2717085
504,2.1563778
505,2.1571589
506,2.6987028
507,2.4197788
509,2.7224085
510,2.1956491
512,2.113666
513,2.0100179
514,2.4037151
515,1.92525
518,1.9659513
519,2.4725075
520,2.5199695
521,2.443293
522,2.1016314
523,2.2507765
525,2.5908303
526,2.673572
527,2.6343238
528,2.3539648
529,2.5173306
530,2.2671907
531,2.1295328
532,2.2200255
534,2.4883356
535,2.5750163
537,2.67458
538,2.4520214
539,2.7361834
540,2.6459835
541,2.520447
543,2.6232393
545,2.5992186
546,2.3707566
547,2.200189
548,2.4755402
550,2.507716
552,2.691636
553,2.7416153
554,2.2791152
555,2.504793
556,2.7274091
558,2.297544
560,2.544237
