product_uid,brand
100001.0,simpson strong-ti
100002.0,behr premium textur deckov
100003.0,sterl
100004.0,grape solar
100005.0,delta
100006.0,whirlpool
100007.0,lithonia light
100008.0,tek
100009.0,hous of fara
100010.0,valley view industri
100011.0,toro
100012.0,hampton bay
100013.0,insinker
100014.0,rubbermaid
100015.0,backyard x-scape
100016.0,sunjoy
100017.0,md build product
100018.0,bloem
100019.0,hous of fara
100020.0,bazz
100021.0,rain bird
100022.0,samsung
100023.0,quikret
100024.0,goal zero
100025.0,stal wart
100026.0,nantucket paver
100027.0,ultratouch
100028.0,backyard x-scape
100029.0,decoart
100030.0,unbrand
100031.0,unbrand
100032.0,norskwal
100033.0,hdx
100034.0,marshalltown
100035.0,firstim
100036.0,rubbermaid
100037.0,huski
100038.0,ridgid
100039.0,emberglow
100040.0,veranda
100041.0,commerci electr
100042.0,american standard
100043.0,quikret
100044.0,westinghous
100045.0,sumner street home hardwar
100046.0,hdx
100047.0,crown bolt
100048.0,werner
100049.0,henri
100050.0,hampton bay
100051.0,hampton bay
100052.0,swim time
100053.0,unbrand
100054.0,stanley door
100055.0,moen
100056.0,bare ground
100057.0,owen corn
100058.0,gama sonic
100059.0,unbrand
100060.0,rdi
100061.0,unbrand
100062.0,insinker
100063.0,bazz
100064.0,trafficmast allur
100065.0,glacier bay
100066.0,cut edg
100067.0,weyerhaeus
100068.0,rheem
100069.0,shark
100070.0,ge
100071.0,steve & son
100072.0,duck
100073.0,huski
100074.0,kaleen
100075.0,home decor collect
100076.0,unbrand
100077.0,mueller global
100078.0,safavieh
100079.0,frigidair
100080.0,brinly-hardi
100081.0,sterl
100082.0,unbrand
100083.0,shape product
100084.0,glo away
100085.0,bali cut-to-s
100086.0,rust-oleum epoxyshield
100087.0,yutrax
100088.0,werner
100089.0,melnor
100090.0,lg electron
100091.0,wayn
100092.0,rust-oleum restor
100093.0,milwauke
100094.0,arien
100095.0,ge
100096.0,woodgrain millwork
100097.0,hampton bay
100098.0,garden blue ribbon
100099.0,montana brand
100100.0,dimex
100101.0,intertap polym group
100102.0,tek
100103.0,commerci electr
100104.0,ge
100105.0,ridgid
100106.0,sun joe
100107.0,roundup
100108.0,american standard
100110.0,ryobi
100111.0,prime-lin
100112.0,rug doctor
100113.0,amerell
100114.0,unbrand
100115.0,masterpiec
100116.0,lg electron
100117.0,home decor collect
100118.0,jameson
100119.0,purdi
100120.0,dewalt
100121.0,lithonia light
100122.0,crown bolt
100123.0,unbrand
100125.0,delta
100126.0,insinker
100127.0,rapidair
100128.0,proslat
100129.0,sundstrom safeti
100130.0,terro
100131.0,leaktit
100132.0,hampton bay
100133.0,unbrand
100134.0,frost king
100135.0,pelican water
100136.0,kohler
100137.0,rust-oleum epoxyshield
100138.0,philip
100139.0,milwauke
100140.0,honda
100141.0,closetmaid
100142.0,everbilt
100143.0,frigidair
100144.0,aquat
100145.0,unbrand
100146.0,armstrong
100147.0,werner
100148.0,everbilt
100149.0,marazzi
100150.0,unbrand
100151.0,commerci electr
100152.0,cub cadet
100153.0,leviton
100154.0,reddi heater
100155.0,backyard x-scape
100156.0,ge
100157.0,fiskar
100158.0,kohler
100159.0,pc product
100161.0,aquasana
100162.0,huski
100163.0,avanti pro
100164.0,honey-can-do
100165.0,cedarsaf
100166.0,quikret
100167.0,everbilt
100169.0,samsung
100170.0,dyna-glo pro
100171.0,sundstrom safeti
100172.0,lithonia light
100173.0,haier
100174.0,reflectix
100175.0,spt
100176.0,malibu
100177.0,hickori hardwar
100178.0,miracle-gro
100179.0,paslod
100180.0,prime-lin
100181.0,crosley
100182.0,sheetrock
100183.0,feather river door
100184.0,bootz industri
100185.0,rubbermaid
100186.0,battic door energi conserv product
100187.0,nostalgia electr
100188.0,unbrand
100189.0,prepac
100190.0,south shore furnitur
100191.0,fiskar
100192.0,general tool
100193.0,main door
100194.0,dewalt
100195.0,md hobbi and craft
100196.0,rheem
100197.0,toro
100198.0,rheem perform
100199.0,hampton bay
100200.0,flowtron
100201.0,cooper bussmann
100202.0,ramsond
100203.0,ms intern
100204.0,home dynamix
100205.0,frogtap
100206.0,blue wave
100207.0,unbrand
100208.0,unbrand
100209.0,liberti
100210.0,pc product
100211.0,malibu
100212.0,unbrand
100213.0,unbrand
100214.0,paveston
100215.0,unbrand
100216.0,generic unbrand
100217.0,sigman
100218.0,sun joe
100219.0,liberti
100220.0,unbrand
100221.0,everbilt
100222.0,jet
100223.0,arien
100224.0,hous of fara
100225.0,unbrand
100226.0,huski
100227.0,adjust-a-g
100228.0,wooster
100229.0,unbrand
100230.0,hampton bay
100231.0,everbilt
100232.0,hampton bay
100233.0,caravan sport
100234.0,ge
100235.0,ez screen room
100236.0,dimex
100237.0,owen corn
100238.0,rust-oleum stop rust
100239.0,rust-oleum specialti
