product_uid,material
100001.0,galvan steel
100003.0,composit
100007.0,plastic
100008.0,steel
100009.0,medium densiti fiberboard (mdf)
100010.0,steel
100012.0,bamboo
100014.0,plastic
100015.0,bamboo
100016.0,steel
100017.0,aluminum
100018.0,plastic
100019.0,medium densiti fiberboard (mdf)
100020.0,plastic
100022.0,stainless steel
100023.0,concret
100026.0,concret
100028.0,wood
100030.0,steel
100032.0,pvc
100033.0,wire
100034.0,tampico
100036.0,metal
100037.0,fabric
100039.0,steel
100040.0,vinyl
100042.0,vitreous china
100043.0,grout
100044.0,acryl
100045.0,metal
100046.0,metal
100047.0,steel
100048.0,aluminum
100050.0,foam steel
100051.0,foam steel
100052.0,aluminum aluminum acryl
100054.0,galvan steel steel
100055.0,metal
100059.0,ceram
100060.0,vinyl
100064.0,vinyl
100065.0,ceram
100071.0,galvan steel
100073.0,fabric
100074.0,synthet
100075.0,bamboo
100076.0,wood
100077.0,black malleabl iron iron
100078.0,synthet
100079.0,wire glass
100080.0,steel
100081.0,composit
100082.0,metal metal/ slate
100083.0,plastic
100085.0,vinyl
100086.0,epoxy/2 part
100088.0,aluminum
100089.0,aluminum rubber
100091.0,thermoplast
100095.0,cast iron
100096.0,medium densiti fiberboard (mdf)
100097.0,foam aluminum other
100098.0,plastic
100099.0,aluminum
100100.0,aluminum
100102.0,steel
100106.0,acrylonitril butadien styren (abs)
100108.0,vitreous china
100115.0,composit
100117.0,asian hardwood leg with asian hardwood veneer over mdf
100118.0,steel fiberglass
100121.0,acryl
100122.0,steel
100123.0,plastic
100125.0,metal
100126.0,"metal, plastic metal"
100128.0,polyethylen
100131.0,plastic
100134.0,other
100136.0,vitreous china
100137.0,epoxy/2 part
100139.0,bi-met multi-purpos
100142.0,steel
100143.0,cast iron
100145.0,composit
100146.0,vinyl
100147.0,fiberglass
100148.0,fiberglass
100149.0,porcelain
100151.0,acryl
100155.0,bamboo
100157.0,steel steel
100158.0,ceram
100163.0,multi-purpos diamond
100164.0,"other steel, wood"
100165.0,wood
100167.0,steel
100169.0,powder-co steel
100170.0,steel
100172.0,acryl
100176.0,metal
100177.0,metal
100179.0,steel
100181.0,medium densiti fiberboard (mdf)
100183.0,fiberglass
100184.0,steel
100185.0,metal
100187.0,metal ss/plastic/metal/heat element
100188.0,steel
100189.0,mdf / composit wood
100190.0,manufactur from lamin particl board
100191.0,steel aluminum
100193.0,wood
100195.0,galvan steel
100199.0,foam steel
100200.0,acrylonitril butadien styren (abs)
100203.0,travertin
100204.0,polypropylen with jute back 0
100206.0,olefin
100207.0,iron
100208.0,steel brass
100209.0,steel
100211.0,metal
100212.0,wood
100213.0,rubber
100214.0,concret
100215.0,plastic
100219.0,metal
100220.0,steel
100221.0,steel
100224.0,wood
100227.0,steel
100229.0,clay
100230.0,steel
100231.0,aluminum
100233.0,"polytaft, fiberglass"
100235.0,aluminum
100240.0,glass
100241.0,resin
100243.0,plastic
100244.0,medium densiti fiberboard (mdf)
100245.0,other polyest
100247.0,polyfib steel
100248.0,steel
100252.0,metal
100255.0,plastic
100257.0,wood
100258.0,steel
100260.0,wood
100262.0,bamboo
100264.0,stainless steel
100266.0,plastic
100267.0,stainless steel
100268.0,plastic
100269.0,ceram
100270.0,fiberglass
100271.0,composit
100272.0,wood
100273.0,synthet
100276.0,plastic
100277.0,steel plastic
100278.0,vinyl
100282.0,hdpe(high densiti polethylene)
100283.0,synthet
100286.0,aluminum
100287.0,steel
100290.0,metal
100293.0,steel
100294.0,particl board granit
100298.0,aluminum
100299.0,vitreous china
100300.0,metal metal
100301.0,pvc
100302.0,steel
100304.0,aluminum
100305.0,concret
100306.0,steel
100307.0,epoxy/2 part
100308.0,powder-co steel
100309.0,multi-purpos bimet
100310.0,fabric
100314.0,engin wood
100315.0,galvan steel
100320.0,vinyl vinyl
100321.0,vinyl
100323.0,metal
100327.0,medium densiti fiberboard (mdf)
100328.0,aluminum
100329.0,wood
100330.0,composit
100332.0,steel brass
100336.0,plastic
100337.0,lamin
100338.0,comfort grip
100340.0,concret
100341.0,steel
100343.0,acryl
100345.0,composit
100348.0,bamboo
100349.0,metal
100350.0,fabric
100353.0,acrylonitril butadien styren (abs)
100354.0,plastic
100356.0,aluminum
100357.0,vitreous china medium densiti fiberboard (mdf) porcelain
100359.0,lamin
100362.0,steel plastic
100363.0,polyethylen
100365.0,steel
100367.0,die-cast
100368.0,ceram
100370.0,plastic
100373.0,aluminum
100376.0,fabric
100377.0,plastic
100380.0,wire
100381.0,brass
100382.0,wood
100383.0,concret
100385.0,granit
100387.0,wood
100388.0,vitreous china
100391.0,composit
100393.0,steel
100396.0,concret
100397.0,steel
100398.0,steel
100399.0,vitreous china
100402.0,die-cast
100403.0,ceram
100404.0,cabl
100405.0,zinc
100414.0,steel
100415.0,aluminum
100419.0,steel
100420.0,steel
100421.0,other
100422.0,brass
100425.0,wood
100427.0,vinyl
100428.0,steel
100429.0,wire
100430.0,wood
100432.0,bi-met multi-purpos
